,"City, Country",Cloudiness,Humidity,Lat,Lon,Max Temp,Wind Speed
0,"Avarua, CK",24,100,-21.21,-159.78,78.82,7.96
1,"Hermanus, ZA",8,91,-34.42,19.24,43.72,2.59
2,"Tabou, CI",68,100,4.42,-7.36,81.48,8.97
3,"Georgetown, GY",75,100,6.8,-58.16,75.2,4.7
4,"Japura, ID",88,98,-0.42,102.29,73.11,2.15
5,"Ballina, IE",92,100,54.11,-9.15,47.77,8.86
6,"Rikitea, PF",80,100,-23.12,-134.97,78.28,7.29
7,"Carnarvon, ZA",0,66,-30.97,22.13,42.06,2.93
8,"Nouna, BF",20,91,12.73,-3.87,71.71,0.92
9,"Faya, SA",0,67,18.39,42.45,62.6,6.93
10,"Port-Gentil, GA",0,97,-0.72,8.78,81.61,8.63
11,"Formosa, AR",12,83,-26.19,-58.17,78.8,4.7
12,"Caravelas, BR",44,100,-17.73,-39.27,78.46,13.0
13,"Roald, NO",48,87,62.58,6.12,44.6,5.82
14,"Jamestown, AU",0,27,-33.21,138.6,74.46,6.17
15,"Padang, ID",44,100,-0.92,100.36,81.21,2.93
16,"Longyearbyen, NO",75,73,78.22,15.63,23.0,14.99
17,"Abha, SA",0,67,18.22,42.5,62.6,6.93
18,"Camacupa, AO",0,68,-12.02,17.48,56.05,2.93
19,"Walvis Bay, NA",0,93,-22.95,14.51,55.4,1.12
20,"Cape Town, ZA",0,93,-33.93,18.42,53.6,9.17
21,"Busselton, AU",80,100,-33.64,115.35,65.5,19.82
22,"Rantauprapat, ID",80,94,2.1,99.83,72.48,1.14
23,"Yenagoa, NG",80,98,4.92,6.26,75.85,3.94
24,"Codrington, AU",92,100,-28.95,153.24,63.03,6.17
25,"Agadez, NE",0,17,16.97,7.99,79.14,10.76
26,"Dakar, SN",0,93,14.69,-17.45,66.2,4.7
27,"Sambava, MG",76,100,-14.27,50.17,78.51,10.42
28,"Ushuaia, AR",75,86,-54.81,-68.31,39.2,20.8
29,"The Valley, AI",20,69,18.22,-63.06,78.8,9.17
30,"Semporna, MY",75,83,4.48,118.61,82.4,3.6
31,"Tuktoyaktuk, CA",20,77,69.44,-133.03,-2.21,5.82
32,"Port Elizabeth, US",1,43,39.31,-74.98,57.2,3.36
33,"Itaituba, BR",44,85,-4.26,-55.99,79.09,2.93
34,"Oriximina, BR",8,96,-1.77,-55.87,75.67,2.93
35,"Kieta, PG",20,98,-6.22,155.63,83.01,3.83
36,"Sidi Ali, DZ",0,79,36.1,0.42,59.88,3.38
37,"Puerto Ayora, EC",75,78,-0.74,-90.35,80.6,11.41
38,"Oktyabrskoye, RU",88,79,56.73,85.44,47.28,10.65
39,"Nouadhibou, MR",36,72,20.93,-17.03,62.6,17.22
40,"Mao, DO",90,100,19.55,-71.08,78.8,11.41
41,"Mahon, IE",75,93,51.89,-8.4,48.2,9.17
42,"Aksu, KZ",90,62,52.04,76.93,51.8,11.18
43,"Tias, ES",40,77,28.96,-13.65,64.4,10.29
44,"Goderich, CA",0,83,43.74,-81.71,38.77,0.81
45,"Praia da Vitoria, PT",75,93,38.73,-27.07,62.6,12.44
46,"Taoudenni, ML",0,25,22.68,-3.98,71.53,2.93
47,"Arraial do Cabo, BR",76,86,-22.97,-42.02,74.64,11.65
48,"Sao Filipe, CV",76,100,14.9,-24.5,69.28,13.67
49,"Sorong, ID",8,100,-0.86,131.25,81.79,5.84
50,"Luderitz, NA",24,92,-26.65,15.16,55.69,7.52
51,"Rosa Zarate, EC",76,100,0.33,-79.47,73.06,2.59
52,"Indaparapeo, MX",75,30,19.79,-100.97,82.4,11.41
53,"Rehoboth, NA",0,76,-23.31,17.08,43.0,2.26
54,"Praia, BR",0,68,-20.25,-43.81,68.0,9.17
55,"Kavieng, PG",24,100,-2.57,150.8,84.76,6.4
56,"Panjab, AF",0,72,34.38,67.02,15.33,0.81
57,"Sainte-Suzanne, CH",12,76,47.51,6.77,55.4,2.59
58,"Pala, IN",75,88,9.71,76.68,80.6,4.7
59,"Morondava, MG",0,100,-20.3,44.28,74.01,4.61
60,"Sungaipenuh, ID",32,95,-2.08,101.38,66.81,1.03
61,"Rabat, MA",20,87,34.02,-6.83,53.6,2.24
62,"North Augusta, CA",1,33,44.76,-75.74,48.2,4.94
63,"Harper, US",1,41,30.3,-99.24,84.2,4.7
64,"Kloulklubed, PW",75,74,7.04,134.26,86.0,6.93
65,"Takoradi, GH",80,96,4.89,-1.75,79.41,4.16
66,"Shimoni, KE",56,100,-4.65,39.38,80.98,15.01
67,"Mitsamiouli, KM",0,98,-11.38,43.28,82.15,7.96
68,"Atambua, ID",0,98,-9.11,124.89,81.66,8.3
69,"Dikson, RU",80,93,73.51,80.55,11.91,16.46
70,"Pointe Michel, DM",40,73,15.25,-61.38,77.0,6.93
71,"Saint Anthony, US",1,25,43.97,-111.68,68.0,8.05
72,"Porto Novo, BR",75,77,-23.68,-45.44,68.0,6.93
73,"Chimoio, MZ",0,93,-19.11,33.48,66.2,4.7
74,"Saldanha, PT",64,84,41.42,-6.55,53.76,2.71
75,"Santa Maria, BR",40,94,-29.69,-53.81,68.0,3.36
76,"Puerto Maldonado, PE",36,83,-12.59,-69.19,77.92,2.93
77,"Albany, US",20,25,42.65,-73.75,51.8,11.41
78,"Hambantota, LK",8,100,6.12,81.12,79.23,4.16
79,"Korem, ET",56,89,12.51,39.52,58.3,1.59
80,"Hobyo, SO",0,91,5.35,48.53,76.84,1.92
81,"Bandrele, YT",20,88,-12.91,45.19,82.4,4.7
82,"Itarema, BR",36,94,-2.92,-39.92,77.47,6.17
83,"Corinto, BR",92,79,-18.36,-44.46,70.9,6.4
84,"Manta, RO",0,84,45.1,24.1,46.15,2.59
85,"Inirida, CO",20,97,3.87,-67.92,74.01,2.04
86,"Pocone, BR",0,65,-16.26,-56.62,78.64,4.61
87,"Kabinda, CD",36,94,-6.14,24.49,69.51,3.04
88,"Port Alfred, ZA",0,99,-33.59,26.89,65.86,11.21
89,"Torbay, CA",75,80,47.66,-52.73,33.8,21.92
90,"Puerto Madryn, AR",0,65,-42.77,-65.04,65.46,16.58
91,"Juru, BR",76,43,-7.54,-37.82,81.93,7.63
92,"Teshie, GH",0,88,5.58,-0.11,80.6,4.7
93,"Kaputa, ZM",44,85,-8.47,29.66,66.94,2.71
94,"San Cristobal, EC",75,71,-0.39,-78.55,55.4,17.22
95,"Gorontalo, ID",56,93,0.54,123.06,76.98,0.58
96,"Aden, YE",0,98,12.79,45.03,82.38,10.2
97,"Storozhevaya, RU",0,87,43.89,41.46,25.09,2.04
98,"Wukari, NG",44,90,7.87,9.78,75.58,10.65
99,"Cuamba, MZ",0,97,-14.8,36.54,60.96,5.73
100,"Touros, BR",76,89,-5.2,-35.46,79.09,10.2
101,"Marovoay, MG",40,88,-16.11,46.64,75.2,6.93
102,"Salinopolis, BR",56,99,-0.61,-47.36,81.25,11.21
103,"Maceio, BR",90,94,-9.67,-35.74,75.2,11.41
104,"Asyut, EG",0,52,27.18,31.19,68.0,17.22
105,"Bonoua, CI",20,83,5.27,-3.6,80.6,4.7
106,"Cidreira, BR",56,87,-30.17,-50.22,71.17,9.19
107,"Gamba, CN",48,81,28.28,88.52,8.35,2.93
108,"Henties Bay, NA",0,100,-22.12,14.28,60.69,4.38
109,"Dubbo, AU",44,53,-32.25,148.6,71.6,11.41
110,"Mbigou, GA",36,92,-1.9,11.91,69.46,2.59
111,"Huambo, AO",0,72,-12.78,15.73,52.23,2.93
112,"Cabedelo, BR",20,88,-6.97,-34.84,77.0,2.24
113,"Nikki, BJ",8,61,9.94,3.21,80.04,7.74
114,"Masyaf, SY",0,76,35.06,36.34,53.6,6.93
115,"Olinda, EC",75,55,-2.03,-79.75,86.0,10.29
116,"Sassandra, CI",64,99,4.95,-6.09,80.98,10.42
117,"Aiquile, BO",0,93,-18.2,-65.18,51.24,2.04
118,"Sandwick, GB",76,82,54.57,-2.89,57.2,11.41
119,"Mabaruma, GY",44,84,8.2,-59.78,79.18,7.74
120,"Riesa, DE",0,71,51.3,13.31,53.6,2.24
121,"Mokolo, CM",32,57,10.74,13.8,76.21,1.14
122,"Kudahuvadhoo, MV",68,100,2.67,72.89,84.67,8.41
